strain	generic
Seq475_L4	1
Seq577_L7	1
Seq446_L2	1
Seq464_L2	1
Seq449_L2	1
Seq448_L2	1
Seq465_L2	1
Seq454_L2	1
Seq468_L2	1
Seq466_L2	1
Seq472_L2	1
Seq456_L2	1
Seq457_L2	1
Seq459_L2	1
Seq460_L2	1
Seq462_L2	1
Seq521_L5	1
Seq525_L5	1
Seq515_L5	1
Seq507_L5	1
Seq510_L5	1
Seq513_L5	1
Seq522_L5	1
Seq505_L5	1
Seq516_L5	1
Seq523_L5	1
Seq506_L5	1
Seq476_L5	1
Seq480_L5	1
Seq504_L5	1
Seq483_L5	1
Seq495_L5	1
Seq499_L5	1
Seq491_L5	1
Seq492_L5	1
Seq482_L5	1
Seq501_L5	1
Seq502_L5	1
Seq494_L5	1
Seq500_L5	1
Seq469_L2	1
Seq518_L5	1
Seq536_L6	1
Seq545_L6	1
Seq551_L6	1
Seq552_L6	1
Seq548_L6	1
Seq563_L6	1
Seq564_L6	1
Seq530_L6	1
Seq537_L6	1
Seq526_L6	1
Seq544_L6	1
Seq539_L6	1
Seq538_L6	1
Seq543_L6	1
Seq566_L6	1
Seq569_L6	1
Seq573_L6	1
Seq589_L7	1
Seq590_L7	1
Seq583_L7	1
Seq580_L7	1
Seq586_L7	1
Seq585_L7	1
Seq647_L9	1
Seq673_L9	1
Seq681_L9	1
Seq642_L9	1
Seq660_L9	1
Seq645_L9	1
Seq650_L9	1
Seq662_L9	1
Seq672_L9	1
Seq458_L2	1
Seq651_L9	1
Seq668_L9	1
Seq676_L9	1
Seq646_L9	1
Seq658_L9	1
Seq644_L9	1
Seq653_L9	1
Seq649_L9	1
Seq656_L9	1
Seq667_L9	1
Seq678_L9	1
Seq671_L9	1
Seq679_L9	1
Seq594_L8	1
Seq596_L8	1
Seq615_L8	1
Seq618_L8	1
Seq602_L8	1
Seq619_L8	1
Seq626_L8	1
Seq593_L8	1
Seq640_L8	1
Seq621_L8	1
Seq638_L8	1
Seq633_L8	1
Seq637_L8	1
Seq605_L8	1
Seq616_L8	1
Seq632_L8	1
Seq631_L8	1
Seq607_L8	1
Seq612_L8	1
Seq628_L8	1
Seq622_L8	1
Seq624_L8	1
Seq627_L8	1
Seq204_L1Dbeta	1
Seq205_L1Dbeta	1
Seq202_L1Dbeta	1
Seq228_L1Dbeta	1
Seq232_L1Dbeta	1
Seq206_L1Dbeta	1
Seq208_L1Dbeta	1
Seq216_L1Dbeta	1
Seq213_L1Dbeta	1
Seq214_L1Dbeta	1
Seq223_L1Dbeta	1
Seq207_L1Dbeta	1
Seq209_L1Dbeta	1
Seq212_L1Dbeta	1
Seq226_L1Dbeta	1
Seq240_L1Dbeta	1
Seq237_L1Dbeta	1
Seq230_L1Dbeta	1
Seq239_L1Dbeta	1
Seq238_L1Dbeta	1
Seq420_L1H	1
Seq410_L1H	1
Seq423_L1H	1
Seq414_L1H	1
Seq415_L1H	1
Seq426_L1H	1
Seq425_L1H	1
Seq408_L1H	1
Seq436_L1H	1
Seq440_L1H	1
Seq412_L1H	1
Seq434_L1H	1
Seq401_L1H	1
Seq405_L1H	1
Seq120_L1C	1
Seq112_L1C	1
Seq140_L1C	1
Seq138_L1C	1
Seq141_L1C	1
Seq101_L1C	1
Seq113_L1C	1
Seq103_L1C	1
Seq114_L1C	1
Seq119_L1C	1
Seq131_L1C	1
Seq134_L1C	1
Seq132_L1C	1
Seq110_L1C	1
Seq137_L1C	1
MN498291.1_Porcine_reproductive_and_respiratory_syndrome_virus_isolate_13832_25kD_major_envelope_protein_gene_complete_cds	1
Seq130_L1C	1
Seq133_L1C	1
Seq143_L1C	1
Seq104_L1C	1
Seq107_L1C	1
Seq115_L1C	1
Seq126_L1C	1
Seq123_L1C	1
Seq142_L1C	1
Seq344_L1F	1
Seq339_L1F	1
Seq332_L1F	1
Seq342_L1F	1
Seq329_L1F	1
Seq343_L1F	1
Seq331_L1F	1
Seq321_L1F	1
Seq326_L1F	1
Seq300_L1F	1
Seq298_L1F	1
Seq317_L1F	1
Seq319_L1F	1
Seq303_L1F	1
Seq320_L1F	1
Seq323_L1F	1
Seq330_L1F	1
Seq333_L1F	1
Seq314_L1F	1
Seq337_L1F	1
Seq322_L1F	1
Seq307_L1F	1
Seq16_L1A	1
Seq26_L1A	1
Seq35_L1A	1
Seq24_L1A	1
Seq28_L1A	1
Seq44_L1A	1
Seq25_L1A	1
Seq23_L1A	1
Seq32_L1A	1
Seq17_L1A	1
Seq19_L1A	1
Seq34_L1A	1
Seq38_L1A	1
Seq48_L1A	1
Seq50_L1A	1
Seq10_L1A	1
