strain	clade_membership
MZ303980.1_L1C	L1C
Seq1_L1A	L1A
Seq6_L1A	L1A
Seq8_L1A	L1A
Seq11_L1A	L1A
Seq13_L1A	L1A
Seq19_L1A	L1A
Seq22_L1A	L1A
Seq23_L1A	L1A
Seq24_L1A	L1A
Seq29_L1A	L1A
Seq35_L1A	L1A
Seq37_L1A	L1A
Seq38_L1A	L1A
Seq39_L1A	L1A
Seq42_L1A	L1A
Seq48_L1A	L1A
Seq50_L1A	L1A
Seq53_L1B	L1B
Seq60_L1B	L1B
Seq62_L1B	L1B
Seq63_L1B	L1B
Seq64_L1B	L1B
Seq65_L1B	L1B
Seq72_L1B	L1B
Seq74_L1B	L1B
Seq81_L1B	L1B
Seq84_L1B	L1B
Seq88_L1B	L1B
Seq90_L1B	L1B
Seq94_L1B	L1B
Seq95_L1B	L1B
Seq104_L1C	L1C
Seq105_L1C	L1C
Seq109_L1C	L1C
Seq114_L1C	L1C
Seq117_L1C	L1C
Seq120_L1C	L1C
Seq124_L1C	L1C
Seq132_L1C	L1C
Seq135_L1C	L1C
Seq137_L1C	L1C
Seq140_L1C	L1C
Seq144_L1C	L1C
Seq156_L1Dalpha	L1Dalpha
Seq160_L1Dalpha	L1Dalpha
Seq161_L1Dalpha	L1Dalpha
Seq165_L1Dalpha	L1Dalpha
Seq168_L1Dalpha	L1Dalpha
Seq174_L1Dalpha	L1Dalpha
Seq184_L1Dalpha	L1Dalpha
Seq186_L1Dalpha	L1Dalpha
Seq189_L1Dalpha	L1Dalpha
Seq192_L1Dalpha	L1Dalpha
Seq193_L1Dalpha	L1Dalpha
Seq194_L1Dalpha	L1Dalpha
Seq201_L1Dbeta	L1Dbeta
Seq202_L1Dbeta	L1Dbeta
Seq204_L1Dbeta	L1Dbeta
Seq205_L1Dbeta	L1Dbeta
Seq209_L1Dbeta	L1Dbeta
Seq212_L1Dbeta	L1Dbeta
Seq213_L1Dbeta	L1Dbeta
Seq218_L1Dbeta	L1Dbeta
Seq219_L1Dbeta	L1Dbeta
Seq223_L1Dbeta	L1Dbeta
Seq225_L1Dbeta	L1Dbeta
Seq227_L1Dbeta	L1Dbeta
Seq232_L1Dbeta	L1Dbeta
Seq234_L1Dbeta	L1Dbeta
Seq237_L1Dbeta	L1Dbeta
Seq238_L1Dbeta	L1Dbeta
Seq239_L1Dbeta	L1Dbeta
Seq240_L1Dbeta	L1Dbeta
Seq241_L1Dbeta	L1Dbeta
Seq248_L1E	L1E
Seq253_L1E	L1E
Seq254_L1E	L1E
Seq255_L1E	L1E
Seq258_L1E	L1E
Seq262_L1E	L1E
Seq265_L1E	L1E
Seq268_L1E	L1E
Seq269_L1E	L1E
Seq273_L1E	L1E
Seq274_L1E	L1E
Seq281_L1E	L1E
Seq286_L1E	L1E
Seq287_L1E	L1E
Seq291_L1E	L1E
Seq296_L1F	L1F
Seq299_L1F	L1F
Seq302_L1F	L1F
Seq303_L1F	L1F
Seq307_L1F	L1F
Seq314_L1F	L1F
Seq319_L1F	L1F
Seq320_L1F	L1F
Seq321_L1F	L1F
Seq324_L1F	L1F
Seq330_L1F	L1F
Seq331_L1F	L1F
Seq335_L1F	L1F
Seq339_L1F	L1F
Seq340_L1F	L1F
Seq341_L1F	L1F
Seq343_L1F	L1F
Seq345_L1F	L1F
Seq346_L1G	L1G
Seq351_L1G	L1G
Seq355_L1G	L1G
Seq361_L1G	L1G
Seq363_L1G	L1G
Seq364_L1G	L1G
Seq379_L1G	L1G
Seq380_L1G	L1G
Seq391_L1G	L1G
Seq396_L1H	L1H
Seq397_L1H	L1H
Seq400_L1H	L1H
Seq401_L1H	L1H
Seq406_L1H	L1H
Seq407_L1H	L1H
Seq408_L1H	L1H
Seq417_L1H	L1H
Seq422_L1H	L1H
Seq423_L1H	L1H
Seq432_L1H	L1H
Seq434_L1H	L1H
Seq439_L1H	L1H
Seq440_L1H	L1H
Seq442_L1H	L1H
Seq443_L1H	L1H
Seq448_L2	L2
Seq450_L2	L2
Seq453_L2	L2
Seq455_L2	L2
Seq458_L2	L2
Seq461_L2	L2
Seq464_L2	L2
Seq465_L2	L2
Seq469_L2	L2
Seq475_L4	L4
Seq488_L5	L5
Seq492_L5	L5
Seq494_L5	L5
Seq497_L5	L5
Seq498_L5	L5
Seq500_L5	L5
Seq511_L5	L5
Seq514_L5	L5
Seq517_L5	L5
Seq526_L6	L6
Seq528_L6	L6
Seq529_L6	L6
Seq530_L6	L6
Seq536_L6	L6
Seq537_L6	L6
Seq538_L6	L6
Seq546_L6	L6
Seq551_L6	L6
Seq555_L6	L6
Seq560_L6	L6
Seq562_L6	L6
Seq564_L6	L6
Seq565_L6	L6
Seq570_L6	L6
Seq576_L7	L7
Seq580_L7	L7
Seq585_L7	L7
Seq591_L8	L8
Seq592_L8	L8
Seq593_L8	L8
Seq609_L8	L8
Seq612_L8	L8
Seq614_L8	L8
Seq618_L8	L8
Seq620_L8	L8
Seq626_L8	L8
Seq629_L8	L8
Seq630_L8	L8
Seq635_L8	L8
Seq637_L8	L8
Seq638_L8	L8
Seq639_L8	L8
Seq640_L8	L8
Seq653_L9	L9
Seq655_L9	L9
Seq660_L9	L9
Seq662_L9	L9
Seq667_L9	L9
Seq668_L9	L9
Seq670_L9	L9
Seq671_L9	L9
Seq672_L9	L9
Seq674_L9	L9
Seq677_L9	L9
Seq682_L9	L9
Seq687_L9	L9
Seq689_L9	L9
Seq690_L9	L9
